
"time","usr","sys","idl","wai","hiq","siq","read","writ","memused","buff","cach","free","used","free","recv","send"
08-05 03:54:39,54.143,8.601,33.833,0.162,0.009,3.253,0.0,3485593.600,23675133952.0,1486848.0,4579651584.0,22211006464.0,0.0,25375535104.0,24672801.400,14434698.200
08-05 03:54:44,52.785,11.549,32.311,0.136,0.0,3.218,0.0,1616281.600,23676952576.0,1486848.0,4587085824.0,22201753600.0,0.0,25375535104.0,23291236.600,14028281.0
08-05 03:54:49,54.315,9.098,32.791,0.094,0.0,3.702,0.0,1724723.200,23673479168.0,1486848.0,4595318784.0,22196994048.0,0.0,25375535104.0,25038835.600,14554314.600
08-05 03:54:54,52.672,8.458,35.714,0.136,0.0,3.020,0.0,1637580.800,23672053760.0,1486848.0,4604006400.0,22189731840.0,0.0,25375535104.0,23494783.200,13957488.600
08-05 03:54:59,54.084,8.882,33.623,0.187,0.0,3.224,0.0,2136678.400,23672258560.0,1486848.0,4507676672.0,22285856768.0,0.0,25375535104.0,24716663.600,14518177.0
08-05 03:55:04,51.957,12.208,32.583,0.127,0.008,3.116,0.0,1676083.200,23674986496.0,1486848.0,4515102720.0,22275702784.0,0.0,25375535104.0,23138005.800,13904065.600
08-05 03:55:09,55.510,8.818,32.313,0.128,0.0,3.231,0.0,1723904.0,23669993472.0,1486848.0,4523610112.0,22272188416.0,0.0,25375535104.0,24660442.200,14764815.600
08-05 03:55:14,52.611,8.328,35.794,0.128,0.0,3.139,0.0,1643724.800,23670386688.0,1486848.0,4531400704.0,22264004608.0,0.0,25375535104.0,23417437.400,13894846.600
08-05 03:55:19,52.990,8.311,35.434,0.136,0.008,3.121,0.0,1684582.400,23670136832.0,1486848.0,4539891712.0,22255763456.0,0.0,25375535104.0,24082690.600,14200549.600
08-05 03:55:24,51.625,10.750,34.256,0.144,0.0,3.225,0.0,1637785.600,23670771712.0,1486848.0,4547506176.0,22247514112.0,0.0,25375535104.0,23411468.600,14084868.600
08-05 03:55:29,55.325,8.998,32.161,0.153,0.0,3.363,0.0,1729433.600,23667752960.0,1486848.0,4555886592.0,22242152448.0,0.0,25375535104.0,25132296.800,14934845.600
08-05 03:55:34,54.758,8.597,33.614,0.119,0.0,2.911,0.0,1646080.0,23666839552.0,1486848.0,4564013056.0,22234939392.0,0.0,25375535104.0,23533120.600,14016778.800
08-05 03:55:39,55.521,8.497,32.700,0.127,0.0,3.155,0.0,3507507.200,23667576832.0,1486848.0,4572176384.0,22226038784.0,0.0,25375535104.0,24619991.200,14362538.600
08-05 03:55:44,50.818,11.708,34.472,0.110,0.0,2.891,0.0,1531904.0,23669174272.0,1486848.0,4579934208.0,22216683520.0,0.0,25375535104.0,22340256.0,13539574.800
08-05 03:55:49,55.473,9.094,31.880,0.127,0.0,3.425,0.0,1785139.200,23666728960.0,1486848.0,4588318720.0,22210744320.0,0.0,25375535104.0,25492568.800,14958274.400
08-05 03:55:54,53.235,8.238,35.357,0.128,0.0,3.043,0.0,1640857.600,23663534080.0,1486848.0,4596252672.0,22206005248.0,0.0,25375535104.0,23634787.800,14125233.600
08-05 03:55:59,54.645,8.829,33.206,0.119,0.0,3.201,0.0,1693798.400,23665725440.0,1486848.0,4604751872.0,22195314688.0,0.0,25375535104.0,24580997.400,14784146.200
08-05 03:56:04,53.438,11.885,31.520,0.136,0.0,3.022,0.0,2112409.600,23667109888.0,1486848.0,4613136384.0,22185545728.0,0.0,25375535104.0,23345410.800,13938468.600
08-05 03:56:09,55.134,8.730,32.722,0.110,0.0,3.304,0.0,1735372.800,23663894528.0,1486848.0,4621262848.0,22180634624.0,0.0,25375535104.0,24697957.800,14876234.0
08-05 03:56:14,56.712,8.458,31.644,0.128,0.009,3.049,0.0,1685913.600,23662997504.0,1486848.0,4629336064.0,22173458432.0,0.0,25375535104.0,23969745.200,14277120.800
08-05 03:56:19,53.658,8.581,34.680,0.119,0.0,2.962,0.0,1663283.200,23188197376.0,1486848.0,4637474816.0,22640119808.0,0.0,25375535104.0,23606187.400,14159477.400
08-05 03:56:24,52.009,11.000,33.857,0.119,0.008,3.007,0.0,1590374.400,23189557248.0,1486848.0,4645158912.0,22631075840.0,0.0,25375535104.0,22820723.200,13632541.200
08-05 03:56:29,48.899,8.129,39.653,0.195,0.0,3.124,0.0,1545113.600,23191769088.0,1486848.0,4652711936.0,22621310976.0,0.0,25375535104.0,23034748.200,13413201.200
08-05 03:56:34,52.019,8.916,35.461,0.136,0.0,3.468,0.0,1678540.800,23258673152.0,1486848.0,4661014528.0,22546104320.0,0.0,25375535104.0,24459663.400,14243623.600
08-05 03:56:39,54.847,8.966,32.402,0.135,0.0,3.649,0.0,3551232.0,23259906048.0,1486848.0,4669325312.0,22536560640.0,0.0,25375535104.0,25780959.0,14963512.0
